feature,importance
Close_lag4,0.06391513
Close_lag5,0.058231737
Close_lag1,0.052570004
Return_lag4,0.05213706
Return_lag1,0.048976123
^IXIC,0.048802175
RSI14,0.047733407
Volatility5,0.047637917
Close_lag3,0.046522632
Close_lag2,0.044483665
Return_lag2,0.04208758
FEDFUNDS,0.041994926
Return_lag3,0.041351788
DXY,0.039909422
Return_lag5,0.039388802
CRUDE_OIL,0.03907748
^GSPC,0.037646387
CPI,0.036920577
MA10,0.03668295
Momentum10,0.03257279
